seed,score,real,user,sys,
0,858762401,1.07,0.97,0.17,
1,860952753,1.00,0.97,0.09,
2,842345095,1.02,1.01,0.07,
3,864032387,1.10,0.96,0.20,
4,863738541,1.06,0.97,0.15,
5,825135011,1.01,0.95,0.13,
6,792371800,1.10,0.95,0.22,
7,838877833,1.03,1.01,0.08,
8,807299839,1.16,1.02,0.21,
9,799456551,1.10,0.99,0.19,
10,758846543,1.04,1.01,0.09,
11,851081392,0.98,0.93,0.10,
12,814330479,1.02,0.88,0.21,
13,858565648,1.01,0.95,0.12,
14,870990860,0.97,0.89,0.14,
15,901667024,1.03,0.91,0.17,
16,787340040,1.07,0.97,0.16,
17,868545340,1.03,0.93,0.16,
18,754974313,1.05,1.01,0.10,
19,877049986,1.09,0.92,0.23,
20,775875155,1.04,0.95,0.14,
21,843633775,1.02,0.97,0.12,
22,793545393,0.99,0.97,0.08,
23,821471657,1.05,0.95,0.17,
24,839230421,1.07,1.00,0.14,
25,866346745,1.11,0.95,0.23,
26,860564637,0.98,0.93,0.11,
27,808385749,1.04,0.97,0.12,
28,877560611,1.03,0.89,0.20,
29,860905972,1.02,0.96,0.13,
30,864840578,1.00,0.93,0.13,
31,829203313,1.03,0.95,0.15,
32,881440553,1.01,0.99,0.08,
33,809729668,0.99,0.92,0.14,
34,876322643,1.02,0.90,0.19,
35,789857364,1.02,0.98,0.09,
36,864337711,1.16,1.10,0.13,
37,865787723,1.11,1.00,0.18,
38,858709413,1.09,1.02,0.14,
39,834992755,1.02,0.92,0.15,
40,892183798,1.01,0.92,0.16,
41,808818799,1.06,0.99,0.13,
42,871619507,1.05,0.95,0.14,
43,829664384,1.17,1.03,0.20,
44,854903512,1.01,0.95,0.12,
45,832415519,1.08,1.01,0.13,
46,812163306,1.10,0.99,0.18,
47,875848734,0.99,0.92,0.13,
48,857616288,1.32,1.11,0.28,
49,804246266,1.03,0.95,0.14,
50,793866613,1.04,0.98,0.12,
51,869417015,1.10,0.98,0.18,
52,869533458,1.06,0.97,0.16,
53,839969375,1.01,0.90,0.16,
54,862034191,1.01,0.95,0.11,
55,877673075,0.99,0.93,0.12,
56,821288748,1.01,0.92,0.13,
57,876485556,1.01,0.94,0.12,
58,875045321,1.03,0.94,0.15,
59,871296429,0.99,0.88,0.17,
60,876891838,0.99,0.96,0.09,
61,847712968,1.01,0.95,0.12,
62,863098562,1.06,1.00,0.12,
63,860119735,1.03,1.02,0.06,
64,852952981,1.00,0.95,0.12,
65,864839630,1.01,0.94,0.12,
66,853236712,1.07,0.98,0.15,
67,848290587,1.01,0.96,0.10,
68,883598164,1.02,0.93,0.15,
69,808747905,1.00,0.96,0.10,
70,882068078,0.97,0.89,0.14,
71,885117249,1.06,0.97,0.15,
72,888165028,1.05,0.95,0.16,
73,863479979,1.04,0.97,0.14,
74,791881662,1.00,0.90,0.16,
75,875209330,1.04,0.99,0.11,
76,870096146,1.01,0.96,0.12,
77,726925236,1.01,0.96,0.11,
78,852548379,1.08,1.02,0.12,
79,822294670,1.00,0.93,0.12,
80,818629819,1.08,0.96,0.18,
81,880094659,1.02,0.94,0.13,
82,828391705,1.05,0.93,0.19,
83,862676673,1.04,0.94,0.16,
84,865570379,1.05,0.96,0.15,
85,878580283,1.02,0.96,0.11,
86,780848358,1.03,0.96,0.13,
87,835018020,1.06,0.93,0.20,
88,859238557,1.00,0.94,0.13,
89,887858246,1.15,0.99,0.22,
90,881256795,1.01,0.96,0.10,
91,793780898,1.03,0.92,0.18,
92,884179211,0.97,0.96,0.07,
93,763936592,1.00,0.89,0.16,
94,857742307,1.11,0.98,0.20,
95,844291131,0.98,0.92,0.11,
96,816426812,1.02,0.98,0.10,
97,864923959,0.99,0.91,0.14,
98,854626325,1.03,0.95,0.14,
99,834997873,1.00,0.96,0.09,
